Ключ,Russian,English
MAIN_MENU_TITLE,The Dead%Truth,The Dead%Truth
MAIN_MENU_PLAY,Играть,Play
MAIN_MENU_SETTINGS,Настройки,Settings
MAIN_MENU_CREDITS,Титры,Credits
SETTINGS_AUDIO,Звук,Audio
SETTINGS_LANGUAGE,Язык,Language
SETTINGS_MASTER,Мастер,Master
SETTINGS_SFX,Звуки,SFX
SETTINGS_MUSIC,Музыка,Music
SETTINGS_LANG_RU,Русский,Русский
SETTINGS_LANG_EN,English,English
SETTINGS_CANCEL,Отмена,Cancel
SETTINGS_APPLY,Ок,Ok
CREDITS_TITLE,Господа создатели,Who created this
CREDITS_CLOSE,Закрыть,Close
CREDITS_DESC,"ГД - PunkGagarim%ГД - ccor3xx%Нарратив - Kudgine_Solis%Разработка - Fenneig%Разработка - Madgine_Solis%Нарратив, Арт - Leit%Арт - NyaKawaii","Game design - PunkGagarim%Game design - ccor3xx%Narrative - Kudgine_Solis%Developer - Fenneig%Developer - Madgine_Solis%Narrative, Art - Leit%Art - NyaKawaii"
PAUSE_TITLE,Пауза,Paused
PAUSE_SETTINGS,Настройки,Settings
PAUSE_RETURN,Вернуться,Return
PAUSE_TO_MAIN_MENU,В главное меню,To main menu
RITUAL_START,Начать ритуал,Start ritual
RITUAL_CLEAR,Очистить стол,Clear table
MANUAL_PAGE_0_TITLE,Три правила связи с мертвыми:,Three rules for speaking with souls:
MANUAL_PAGE_0_DESC,Призраки приходят ночью.%Призраки не могут говорить много.%Призраки не могут лгать.,Souls come at night.%Souls cannot speak much.%Souls cannot lie.
MANUAL_PAGE_0_SEX,Пол,Sex
MANUAL_PAGE_1_AGE,Возраст,Age
MANUAL_PAGE_1_RACE,Раса,Race
MANUAL_PAGE_1_MIRROR_TITLE,Зеркало,Mirror
MANUAL_PAGE_1_MIRROR_DESC,Этот инструмент позволяет вам обнаружить конфликты в реагентах. Но используйте с осторожностью. Зеркало не может выдержать всей потусторонней мощи,This tool allows you to detect conflicts in reagents. But use with caution. The mirror cannot withstand all the otherworldly power
MANUAL_PAGE_1_MAGNIFIER_TITLE,Лупа,Magnifier
